Sl. No.,Cause,No. of Cases,No. of Cases,No. of Cases,Persons Injured - 2019,Persons Injured - 2019,Persons Injured - 2019,Persons Injured - 2019,Persons Died - 2019,Persons Died - 2019,Persons Died - 2019,Persons Died - 2019,Percentage Share in Deaths
,,2018,2019,% Var.,Male,Female,Transgender,Total,Male,Female,Transgender,Total,
1,Fire in School Buildings,7,23,228.6,0,0,0,0,12,16,0,28,0.3
2,Fire in Commercial Buildings,367,328,-10.6,19,5,0,24,189,141,0,330,3.0
3,Fire in Residential/Dwelling Buildings,7241,6364,-12.1,222,99,0,321,2698,3631,0,6329,58.0
4,Fire in Government Buildings,24,60,150.0,0,1,0,1,47,7,0,54,0.5
5,Fire in the Mines,13,2,-84.6,0,0,0,0,2,0,0,2,0.0
6,Fire in Factory Manufacturing Combustible Materials including Cracker/Match Box Factories,51,27,-47.1,2,1,0,3,21,12,0,33,0.3
7,Fire in the Factories (other than Sl.â€“ 6),184,181,-1.6,27,5,0,32,102,75,0,177,1.6
8,Accidental Fire in Train(s),9,8,-11.1,2,0,0,2,6,1,0,7,0.1
9,Accidental Fire in Vehicles (Automobiles) (Total),502,257,-48.8,19,6,0,25,87,65,0,152,1.4
9.1, Passenger Vehicle (e.g.           Bus/Taxi/Auto/etc.),175,63,-64.0,5,3,0,8,26,13,0,39,0.4
9.2, Private Vehicle,146,136,-6.8,10,3,0,13,27,41,0,68,0.6
9.3, Goods Carriers,181,58,-68.0,4,0,0,4,34,11,0,45,0.4
10,Others,4701,3787,-19.4,22,11,0,33,1783,2020,0,3803,34.8
11,Total,13099,11037,-15.7,313,128,0,441,4947,5968,0,10915,100.0
