Sl. No.,State/UT,Number of Suicides,Percentage Share in Total Suicides,Projected Midâ€“Year Population(in Lakh),Rate of Suicides
,STATES,,,,
1,ANDHRA PRADESH,6465,4.6,523.2,12.4
2,ARUNACHAL PRADESH,112,0.1,15.1,7.4
3,ASSAM,2370,1.7,344.2,6.9
4,BIHAR,641,0.5,1201.1,0.5
5,CHHATTISGARH,7629,5.5,288.5,26.4
6,GOA,259,0.2,15.4,16.8
7,GUJARAT,7655,5.5,682.5,11.2
8,HARYANA,4191,3.0,288.1,14.5
9,HIMACHAL PRADESH,584,0.4,73.2,8.0
10,JAMMU & KASHMIR,284,0.2,135.3,2.1
11,JHARKHAND,1646,1.2,375.8,4.4
12,KARNATAKA,11288,8.1,659.7,17.1
13,KERALA,8556,6.1,351.9,24.3
14,MADHYA PRADESH,12457,9.0,826.1,15.1
15,MAHARASHTRA,18916,13.6,1225.3,15.4
16,MANIPUR,58,0.0,31.1,1.9
17,MEGHALAYA,198,0.1,32.3,6.1
18,MIZORAM,70,0.1,12.0,5.9
19,NAGALAND,41,0.0,21.6,1.9
20,ODISHA,4582,3.3,437.3,10.5
21,PUNJAB,2357,1.7,299.4,7.9
22,RAJASTHAN,4531,3.3,776.0,5.8
23,SIKKIM,220,0.2,6.7,33.1
24,TAMIL NADU,13493,9.7,758.1,17.8
25,TELANGANA,7675,5.5,372.8,20.6
26,TRIPURA,728,0.5,40.0,18.2
27,UTTAR PRADESH,5464,3.9,2259.7,2.4
28,UTTARAKHAND,516,0.4,111.8,4.6
29,WEST BENGAL,12665,9.1,971.1,13.0
,TOTAL (STATES),135651,97.5,13135.2,10.3
,UNION TERRITORIES,,,,
30,A & N ISLANDS,181,0.1,4.0,45.5
31,CHANDIGARH,131,0.1,11.8,11.1
32,D & N HAVELI,95,0.1,5.6,17.1
33,DAMAN & DIU,46,0.0,4.2,10.9
34,DELHI (UT),2526,1.8,199.4,12.7
35,LAKSHADWEEP,0,0.0,0.7,0.0
36,PUDUCHERRY,493,0.4,15.2,32.5
,TOTAL (UTS),3472,2.5,240.8,14.4
,TOTAL (ALL INDIA),139123,100.0,13376.1,10.4
