Sl. No.,State/UT,Truck/Lorry,Truck/Lorry,Truck/Lorry,Bus,Bus,Bus,SUV/Station Wagon/etc,SUV/Station Wagon/etc,SUV/Station Wagon/etc,Car,Car,Car,Jeep,Jeep,Jeep,Tractor,Tractor,Tractor,Three Wheeler/Auto Rickshaw,Three Wheeler/Auto Rickshaw,Three Wheeler/Auto Rickshaw,Two Wheeler,Two Wheeler,Two Wheeler,Other Motor Vehicles,Other Motor Vehicles,Other Motor Vehicles,Bicycle,Bicycle,Bicycle,Hand Drawn Vehicle/Cycle Rickshaw,Hand Drawn Vehicle/Cycle Rickshaw,Hand Drawn Vehicle/Cycle Rickshaw,Animal Drawn Vehicle,Animal Drawn Vehicle,Animal Drawn Vehicle,Pedestrian,Pedestrian,Pedestrian,Others,Others,Others,Grand Total,Grand Total,Grand Total
,,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total,Offenders,Victims,Total
,STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ANDHRA PRADESH,487,556,1043,148,321,469,39,98,137,419,585,1004,108,49,157,140,137,277,237,492,729,1468,1544,3012,45,144,189,52,45,97,3,22,25,4,14,18,113,647,760,13,54,67,3276,4708,7984
2,ARUNACHAL PRADESH,16,16,32,0,0,0,5,5,10,18,7,25,1,1,2,0,3,3,1,0,1,28,2,30,1,1,2,1,0,1,0,0,0,0,0,0,0,1,1,2,0,2,73,36,109
3,ASSAM,188,111,299,88,197,285,47,134,181,398,284,682,30,1,31,18,23,41,68,119,187,845,517,1362,14,1,15,102,12,114,43,0,43,0,0,0,0,5,5,0,0,0,1841,1404,3245
4,BIHAR,543,573,1116,324,227,551,249,261,510,227,220,447,169,51,220,194,68,262,309,252,561,1950,1031,2981,7,23,30,95,64,159,1,18,19,27,0,27,127,195,322,0,0,0,4222,2983,7205
5,CHHATTISGARH,233,456,689,50,85,135,60,96,156,105,262,367,9,16,25,83,185,268,24,36,60,1476,1023,2499,71,144,215,39,99,138,0,0,0,0,2,2,15,228,243,83,123,206,2248,2755,5003
6,GOA,0,7,7,0,4,4,1,0,1,6,21,27,0,1,1,0,0,0,1,1,2,103,104,207,1,0,1,0,2,2,0,0,0,0,0,0,0,47,47,0,0,0,112,187,299
7,GUJARAT,244,718,962,43,214,257,56,151,207,317,844,1161,43,162,205,37,120,157,117,292,409,1322,1669,2991,26,68,94,16,98,114,0,2,2,3,4,7,0,728,728,32,102,134,2256,5172,7428
8,HARYANA,65,698,763,18,181,199,23,128,151,124,752,876,10,67,77,16,155,171,14,116,130,334,876,1210,17,165,182,21,31,52,0,0,0,0,12,12,385,747,1132,15,299,314,1042,4227,5269
9,HIMACHAL PRADESH,41,62,103,10,105,115,21,24,45,177,180,357,62,83,145,19,15,34,0,1,1,160,111,271,3,16,19,2,3,5,0,0,0,1,2,3,7,19,26,0,0,0,503,621,1124
10,JAMMU & KASHMIR,61,44,105,67,46,113,22,66,88,99,125,224,2,5,7,16,14,30,1,11,12,108,93,201,39,72,111,1,0,1,0,0,0,0,0,0,15,59,74,29,14,43,460,549,1009
11,JHARKHAND,250,172,422,66,112,178,59,102,161,323,234,557,53,78,131,32,0,32,112,139,251,1182,767,1949,1,2,3,33,3,36,16,0,16,0,0,0,15,50,65,0,0,0,2142,1659,3801
12,KARNATAKA,388,575,963,124,435,559,24,45,69,636,1112,1748,97,69,166,88,126,214,184,350,534,2955,1991,4946,41,101,142,36,7,43,0,0,0,0,21,21,109,1179,1288,80,178,258,4762,6189,10951
13,KERALA,55,216,271,33,200,233,5,27,32,71,343,414,6,37,43,0,4,4,29,200,229,276,1839,2115,2,35,37,1,79,80,0,0,0,0,0,0,6,896,902,0,10,10,484,3886,4370
14,MADHYA PRADESH,439,1186,1625,144,443,587,126,450,576,409,1069,1478,98,288,386,186,515,701,71,259,330,1895,2837,4732,63,304,367,37,39,76,3,0,3,8,6,14,137,692,829,44,108,152,3660,8196,11856
15,MAHARASHTRA,504,1308,1812,94,366,460,76,242,318,540,1099,1639,175,305,480,84,202,286,138,369,507,3367,3770,7137,55,113,168,79,83,162,0,1,1,0,7,7,91,1398,1489,70,72,142,5273,9335,14608
16,MANIPUR,12,20,32,0,2,2,0,4,4,14,19,33,0,1,1,0,0,0,3,3,6,20,28,48,1,0,1,0,6,6,0,0,0,0,0,0,5,17,22,0,1,1,55,101,156
17,MEGHALAYA,22,19,41,3,3,6,10,8,18,19,23,42,1,3,4,1,0,1,3,7,10,25,21,46,1,1,2,1,0,1,0,0,0,0,0,0,1,4,5,0,0,0,87,89,176
18,MIZORAM,4,9,13,2,0,2,5,0,5,19,3,22,1,0,1,0,0,0,1,0,1,15,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,16,63
19,NAGALAND,8,5,13,0,0,0,2,0,2,1,1,2,0,0,0,0,0,0,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,22
20,ODISHA,242,388,630,41,219,260,38,68,106,182,312,494,42,30,72,17,34,51,65,152,217,1513,798,2311,61,86,147,86,43,129,4,0,4,0,0,0,304,254,558,122,232,354,2717,2616,5333
21,PUNJAB,20,440,460,16,208,224,76,227,303,102,835,937,6,55,61,11,80,91,15,93,108,390,1353,1743,4,127,131,38,107,145,6,31,37,3,30,33,31,303,334,0,6,6,718,3895,4613
22,RAJASTHAN,484,993,1477,113,414,527,200,297,497,491,1219,1710,153,386,539,81,305,386,58,173,231,1725,1779,3504,131,570,701,19,14,33,1,0,1,18,6,24,0,785,785,37,111,148,3511,7052,10563
23,SIKKIM,15,3,18,0,0,0,5,9,14,29,5,34,1,3,4,0,0,0,0,0,0,8,2,10,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,62,22,84
24,TAMIL NADU,430,1233,1663,239,896,1135,74,211,285,538,870,1408,34,77,111,19,100,119,155,141,296,2254,1283,3537,30,667,697,133,97,230,0,0,0,0,0,0,310,734,1044,0,0,0,4216,6309,10525
25,TELANGANA,198,657,855,46,269,315,53,275,328,221,664,885,17,57,74,70,173,243,94,574,668,1325,1860,3185,0,0,0,0,47,47,0,4,4,0,2,2,0,358,358,0,0,0,2024,4940,6964
26,TRIPURA,16,22,38,1,5,6,2,2,4,2,14,16,7,14,21,0,0,0,6,14,20,25,61,86,1,0,1,0,4,4,0,0,0,0,0,0,0,43,43,0,0,0,60,179,239
27,UTTAR PRADESH,1166,4106,5272,517,1440,1957,420,1214,1634,749,2606,3355,383,446,829,188,618,806,463,1055,1518,2066,4365,6431,101,376,477,53,163,216,15,22,37,7,17,24,18,205,223,285,221,506,6431,16854,23285
28,UTTARAKHAND,55,102,157,21,48,69,11,18,29,93,79,172,23,23,46,2,30,32,6,10,16,120,146,266,0,0,0,0,25,25,0,0,0,0,0,0,0,55,55,0,0,0,331,536,867
29,WEST BENGAL,430,1139,1569,104,363,467,110,162,272,206,491,697,3,17,20,91,141,232,56,124,180,468,850,1318,94,153,247,14,40,54,0,16,16,0,0,0,15,431,446,33,173,206,1624,4100,5724
,TOTAL (STATES),6616,15834,22450,2312,6803,9115,1819,4324,6143,6535,14278,20813,1534,2325,3859,1393,3048,4441,2231,4983,7214,27427,30725,58152,811,3169,3980,859,1111,1970,92,116,208,71,123,194,1706,10080,11786,846,1704,2550,54252,98623,152875
,UNION  TERRITORIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,A & NISLANDS,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,20,20
31,CHANDIGARH,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,7,7,0,46,46,0,0,0,0,10,10,0,1,1,0,0,0,0,36,36,0,0,0,0,104,104
32,D & N HAVELI,0,23,23,0,1,1,0,0,0,0,4,4,0,0,0,0,1,1,0,5,5,3,7,10,0,3,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,46,49
33,DAMAN & DIU,2,5,7,0,0,0,0,0,0,1,7,8,0,0,0,0,1,1,1,0,1,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,19,29
34,DELHI (UT),24,130,154,9,61,70,16,29,45,121,236,357,1,14,15,1,7,8,17,38,55,156,299,455,15,100,115,3,11,14,0,3,3,0,0,0,4,75,79,42,96,138,409,1099,1508
35,LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,PUDUCHERRY,1,0,1,5,0,5,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,62,0,62,0,0,0,6,0,6,0,0,0,0,0,0,52,0,52,9,0,9,147,0,147
,TOTAL (UTs),27,160,187,14,63,77,16,29,45,134,249,383,1,14,15,1,9,10,18,50,68,227,368,595,15,103,118,9,21,30,0,4,4,0,0,0,56,119,175,51,99,150,569,1288,1857
,TOTAL (ALL INDIA),6643,15994,22637,2326,6866,9192,1835,4353,6188,6669,14527,21196,1535,2339,3874,1394,3057,4451,2249,5033,7282,27654,31093,58747,826,3272,4098,868,1132,2000,92,120,212,71,123,194,1762,10199,11961,897,1803,2700,54821,99911,154732
